ID,Kode_Crypto,Nama_Aset,Harga_Aset,Market_Cap_Miliar,Volume_Trading,Perubahan_Harga_24J,Volatilitas,ROI_Tahunan
1,BTC,Bitcoin,32121.33,1922.62,14030741811,25.31,86.36,33.08
2,DOT,Polkadot,39863.79,2130.36,17866613976,-4.77,36.04,14.32
3,BTC,Bitcoin,108708.68,1934.2,85379067185,-2.34,5.61,82.49
4,ETH,Ethereum,108647.85,232.82,17791506463,22.4,6.97,107.56
5,MATIC,Polygon,57230.86,1173.76,44261055166,6.3,49.92,94.98
6,LINK,Chainlink,63249.04,2023.54,1355044933,-1.11,76.54,51.79
7,LINK,Chainlink,64622.38,1991.37,68005410955,6.24,44.01,51.41
8,ATOM,Cosmos,90500.81,454.48,12113624612,29.82,66.2,3.82
9,ADA,Cardano,66504.48,2209.91,63236290212,-1.74,77.42,-17.72
10,MATIC,Polygon,10578.97,1571.17,52524712396,6.92,72.3,107.28
11,LINK,Chainlink,34524.35,1237.45,89182506493,18.22,55.61,117.29
12,BNB,Binance Coin,119034.93,1111.81,63358854990,-22.35,17.53,7.04
13,XRP,Ripple,95866.69,1712.73,59935860353,13.06,5.03,66.46
14,DOT,Polkadot,42607.44,222.88,53841855411,-20.59,69.56,36.59
15,ADA,Cardano,31504.88,1181.8,76240169643,-4.91,37.4,69.48
16,BNB,Binance Coin,106065.63,1048.18,20097375125,-2.67,26.85,-9.03
17,UNI,Uniswap,75302.7,1895.4,74678492245,-6.63,89.98,88.14
18,XRP,Ripple,93135.98,973.76,73558628353,33.5,53.09,68.15
19,LTC,Litecoin,70715.45,1081.02,20364987953,2.28,6.92,42.96
20,TRX,TRON,88819.77,2451.12,63003163838,-6.77,78.57,-16.04
21,DOT,Polkadot,38982.83,1292.59,19571354769,-4.39,14.74,81.69
22,SOL,Solana,107212.04,850.86,32240319414,-12.8,34.95,35.74
23,DOT,Polkadot,9643.51,493.54,3826994259,-13.35,57.51,-8.09
24,ADA,Cardano,10049.0,1386.78,77033198086,-16.87,88.88,48.92
25,DOGE,Dogecoin,93234.56,642.87,45038542278,-1.25,25.85,50.18
26,BNB,Binance Coin,73170.15,15.9,84187501388,33.22,36.94,61.85
27,TRX,TRON,6292.34,2154.26,44757830590,-3.48,76.64,28.02
28,LTC,Litecoin,23096.49,2492.66,7758090241,25.5,39.91,17.17
29,UNI,Uniswap,20985.52,1398.02,10173703897,30.3,16.38,17.16
30,ATOM,Cosmos,72654.22,138.22,5930567887,10.16,32.76,45.18
31,LTC,Litecoin,115574.95,812.41,62908680898,-9.05,45.85,60.01
32,SOL,Solana,113854.6,1139.26,38325106538,-4.77,9.54,-2.73
33,DOGE,Dogecoin,79224.59,1834.67,75065525348,-22.43,97.83,-0.18
34,ATOM,Cosmos,44373.78,2354.42,60268641576,5.25,89.56,64.19
35,XRP,Ripple,84689.89,2252.39,43010535876,18.79,26.16,104.28
36,ATOM,Cosmos,30403.51,420.88,49032590218,0.5,61.46,49.55
37,BNB,Binance Coin,23788.98,674.36,39489174817,4.99,86.49,11.38
38,DOT,Polkadot,11059.14,1107.34,75356035255,-8.24,23.16,111.72
39,ETH,Ethereum,76258.6,981.57,14812434514,-21.39,45.24,71.57
40,DOT,Polkadot,42776.01,1233.55,30227075706,29.6,11.83,109.8
41,BTC,Bitcoin,49466.83,805.48,4424601123,30.48,27.93,104.15
42,ATOM,Cosmos,52279.72,729.17,39454260128,-18.24,67.4,95.05
43,SOL,Solana,61859.47,1871.91,20557043698,2.95,43.53,51.48
44,UNI,Uniswap,52152.44,1401.65,10266344751,34.02,51.21,-14.04
45,BNB,Binance Coin,57077.53,1801.44,17639743109,-17.68,91.16,29.4
46,MATIC,Polygon,2090.81,1302.66,48485840349,-12.2,92.11,-5.2
47,ATOM,Cosmos,106222.8,238.05,45804400169,19.17,77.59,8.83
48,DOGE,Dogecoin,21575.68,316.24,19221683735,26.08,5.49,90.44
49,ETH,Ethereum,39723.09,246.43,61071453260,0.81,23.68,36.65
50,BTC,Bitcoin,18203.78,1153.88,17568650416,15.1,38.38,113.85
51,ATOM,Cosmos,24761.98,598.61,59206158087,-4.51,18.3,74.54
52,XRP,Ripple,39285.9,1002.38,33445447900,23.88,10.39,-10.96
53,UNI,Uniswap,29961.26,586.95,85405958403,28.68,64.6,102.89
54,DOT,Polkadot,31591.58,1052.76,77243603693,-2.94,63.23,98.51
55,UNI,Uniswap,3986.73,724.03,3615856413,23.03,52.09,-19.59
56,XRP,Ripple,9586.28,1799.33,45570643569,1.68,14.73,63.49
57,TRX,TRON,64085.77,998.28,11504551318,-13.5,72.17,39.83
58,AVAX,Avalanche,33996.02,2225.9,77237817455,-15.2,7.48,82.02
59,LTC,Litecoin,109650.08,1563.83,48073174887,-13.96,17.68,80.02
60,ETH,Ethereum,32454.11,2232.01,47561716063,-21.59,28.7,-1.79
61,DOGE,Dogecoin,11132.0,650.7,76418865002,26.85,66.96,-3.07
62,UNI,Uniswap,39574.79,1998.32,41481568571,1.37,26.85,-6.9
63,ETH,Ethereum,74318.16,2330.81,51089205824,31.58,21.77,106.62
64,DOGE,Dogecoin,41.91,524.93,3934175800,23.46,17.06,98.6
65,BNB,Binance Coin,64335.34,1053.84,9903372862,27.42,16.35,59.65
66,XRP,Ripple,68210.78,1595.64,39988573487,10.85,77.94,27.35
67,BTC,Bitcoin,79869.92,770.98,56694414634,-12.28,9.18,-10.81
68,LTC,Litecoin,96076.23,385.74,7156729891,7.99,88.47,-11.22
69,MATIC,Polygon,115810.89,1002.4,59536866694,17.67,92.32,-9.56
70,ATOM,Cosmos,103489.22,225.14,25904958315,15.51,19.53,70.14
71,ETH,Ethereum,117382.08,127.85,83634742158,-1.94,66.56,70.01
72,DOGE,Dogecoin,116911.3,1645.53,9037322011,-22.39,19.16,92.41
73,BNB,Binance Coin,93846.86,1653.65,48542560205,5.61,70.64,19.71
74,ATOM,Cosmos,22083.51,1323.32,10952062144,34.48,91.03,104.64
75,MATIC,Polygon,85109.42,1299.84,84456632308,-18.93,89.66,14.48
76,LTC,Litecoin,99321.35,1199.02,40251988773,23.48,48.28,70.7
77,XRP,Ripple,100019.71,1909.22,81595508047,14.14,95.28,7.82
78,BTC,Bitcoin,44987.34,1465.23,84428494441,-20.63,58.37,116.54
79,DOT,Polkadot,81555.69,249.48,68447661753,30.99,75.3,103.14
80,LTC,Litecoin,63026.01,838.78,85633100475,12.9,43.71,106.37
81,LTC,Litecoin,77831.16,669.28,67329307095,-14.41,14.5,79.79
82,BTC,Bitcoin,82902.66,1778.23,47862876793,31.0,18.05,93.01
