Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated,PER,PriceToBook,Volatilitas,ROI_Tahunan,DividendYield
AALI,Astra Agro Lestari Tbk.,1997-12-09,1924688333.0,Utama,Consumer Non-Cyclicals,8000.0,15397506664000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,8000.0,0.8047,0.1104,0.0549
ABBA,Mahaka Media Tbk.,2002-04-03,3935892857.0,Pengembangan,Consumer Cyclicals,142.0,558896785694.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2002-04-03,2023-01-06,1.0,142.0,0.6483,0.3816,0.0692
ABDA,Asuransi Bina Dana Arta Tbk.,1989-07-06,620806680.0,Pengembangan,Financials,6700.0,4159404756000.0,2021-11-01 09:00:00,2022-11-11 15:59:00,2020-04-16 09:00:00,2022-11-11 16:00:00,2001-04-16,2023-01-06,1.0,6700.0,0.6419,-0.1357,0.0161
ABMM,ABM Investama Tbk.,2011-12-06,2753165000.0,Utama,Industrials,3050.0,8397153250000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2011-12-06,2023-01-06,1.0,3050.0,0.4042,-0.0044,0.0002
ACES,Ace Hardware Indonesia Tbk.,2007-11-06,17150000000.0,Utama,Consumer Cyclicals,490.0,8403500000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2007-11-06,2023-01-06,1.0,490.0,0.4912,-0.2452,0.0423
ACST,Acset Indonusa Tbk.,2013-06-24,12675160000.0,Utama,Infrastructures,156.0,1977324960000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2013-06-24,2023-01-06,1.0,156.0,0.3942,-0.276,0.0435
ADCP,Adhi Commuter Properti Tbk.,2021-05-21,22222222200.0,Utama,Properties & Real Estate,64.0,1422222220800.0,2022-02-21 09:00:00,2023-01-06 15:59:00,2021-05-21 09:00:00,2023-01-06 15:00:00,2021-05-21,2023-01-06,1.0,64.0,0.7573,-0.2535,0.0304
ADES,Akasha Wira International Tbk.,1994-06-13,589896800.0,Pengembangan,Consumer Non-Cyclicals,7125.0,4203014700000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,7125.0,0.489,0.1581,0.0794
ADHI,Adhi Karya (Persero) Tbk.,2004-03-18,3560849376.0,Utama,Infrastructures,452.0,1609503917952.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2004-03-18,2023-01-06,1.0,452.0,0.6134,0.293,0.0595
ADMF,Adira Dinamika Multi Finance T,2004-03-31,1000000000.0,Utama,Financials,8850.0,8850000000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2004-03-31,2023-01-06,1.0,8850.0,0.337,0.181,0.0195
ADMG,Polychem Indonesia Tbk,1993-10-20,3889179559.0,Utama,Basic Materials,150.0,583376933850.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,150.0,0.5846,0.4373,0.0001
ADMR,Adaro Minerals Indonesia Tbk.,2022-01-03,40882331500.0,Pengembangan,Energy,1560.0,63776437140000.0,2022-01-03 09:00:00,2023-01-06 15:59:00,2022-01-03 09:00:00,2023-01-06 15:00:00,2022-01-03,2023-01-06,1.0,1560.0,0.8414,0.1741,0.0628
ADRO,Adaro Energy Indonesia Tbk.,2008-07-16,31985962000.0,Utama,Energy,3140.0,100435920680000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2008-07-16,2023-01-06,1.0,3140.0,0.4116,0.4162,0.0514
AGAR,Asia Sejahtera Mina Tbk.,2019-12-02,1000000000.0,Pengembangan,Consumer Non-Cyclicals,270.0,270000000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2019-12-02,2023-01-06,1.0,270.0,0.5707,0.3669,0.0591
AGII,Aneka Gas Industri Tbk.,2016-09-28,3066660000.0,Utama,Basic Materials,1935.0,5933987100000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2016-09-28,2023-01-06,1.0,1935.0,0.68,-0.2618,0.0159
AGRO,Bank Raya Indonesia Tbk.,2003-08-08,22520054593.0,Utama,Financials,406.0,9143142164758.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2003-08-08,2023-01-06,1.0,406.0,0.6671,0.3886,0.0735
AGRS,Bank IBK Indonesia Tbk.,2014-12-22,17481603282.0,Pengembangan,Financials,89.0,1555862692098.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2014-12-22,2023-01-06,1.0,89.0,0.1821,-0.063,0.0411
AHAP,Asuransi Harta Aman Pratama Tb,1990-09-14,2940000000.0,Pengembangan,Financials,64.0,188160000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,64.0,0.5977,-0.038,0.0353
AIMS,Akbar Indo Makmur Stimec Tbk,2001-07-20,220000000.0,Pengembangan,Energy,274.0,60280000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-07-20,2023-01-06,1.0,274.0,0.8313,0.0311,0.0515
AISA,FKS Food Sejahtera Tbk.,1997-06-11,9311800000.0,Utama,Consumer Non-Cyclicals,142.0,1322275600000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,142.0,0.1439,-0.0332,0.0526
AKKU,Anugerah Kagum Karya Utama Tbk,2004-11-01,6449463636.0,Pengembangan,Consumer Cyclicals,50.0,322473181800.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2004-11-01,2023-01-06,1.0,50.0,0.6803,0.2338,0.0144
AKPI,Argha Karya Prima Industry Tbk,1992-12-18,612248000.0,Pengembangan,Basic Materials,1150.0,704085200000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,1150.0,0.4313,-0.2901,0.079
AKRA,AKR Corporindo Tbk.,1994-10-03,20073474600.0,Utama,Energy,1270.0,25493312742000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,1270.0,0.7158,-0.1124,0.0357
AKSI,Mineral Sumberdaya Mandiri Tbk,2001-07-13,720000000.0,Pengembangan,Transportation & Logistic,406.0,292320000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-07-13,2023-01-06,1.0,406.0,0.6758,0.0326,0.0134
ALDO,Alkindo Naratama Tbk.,2011-07-12,1316856020.0,Pengembangan,Basic Materials,800.0,1053484816000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2011-07-12,2023-01-06,1.0,800.0,0.0575,0.102,0.0085
ALKA,Alakasa Industrindo Tbk,1990-07-12,507665055.0,Pengembangan,Basic Materials,600.0,304599033000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,600.0,0.7682,0.4968,0.0677
ALMI,Alumindo Light Metal Industry ,1997-01-02,3816000000.0,Pengembangan,Basic Materials,292.0,1114272000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06,1.0,292.0,0.6788,0.1547,0.015
