ID,Kode_Saham,Nama_Perusahaan,Harga_Saham,Return_Tahunan,Risiko,Volume_Transaksi,Market_Cap_Triliun,Dividend_Yield
1,INDF,Indofood Sukses Makmur,1874,-8.62,29.75,15079419,126.44,1.54
2,CPIN,Charoen Pokphand,8985,-5.22,42.97,2099657,85.23,3.49
3,PGAS,Perusahaan Gas Negara,484,20.87,69.44,47165122,490.9,3.31
4,PGAS,Perusahaan Gas Negara,4607,34.52,5.58,10814555,628.63,5.1
5,BMRI,Bank Mandiri,3577,42.65,35.29,6324068,342.55,5.38
6,ICBP,Indofood CBP,9941,4.55,8.91,30931481,483.07,14.6
7,UNVR,Unilever Indonesia,1341,20.36,79.65,41608157,797.02,5.42
8,TLKM,Telkom Indonesia,11593,-6.17,64.51,19520497,886.71,12.83
9,ACES,Ace Hardware Indonesia,1704,10.91,45.81,24583473,147.23,5.33
10,INDF,Indofood Sukses Makmur,4424,28.6,66.52,4891741,548.61,2.57
11,CPIN,Charoen Pokphand,4060,-1.01,39.15,43049656,619.66,3.29
12,ICBP,Indofood CBP,966,2.6,7.89,21269695,361.65,0.99
13,ADRO,Adaro Energy,9342,38.2,33.32,44085744,449.81,13.27
14,INDF,Indofood Sukses Makmur,7567,-2.14,17.57,37772777,485.54,11.21
15,UNVR,Unilever Indonesia,9610,11.97,24.74,9383286,459.06,1.36
16,BBCA,Bank Central Asia,1846,-1.59,19.4,45766321,380.52,0.95
17,UNVR,Unilever Indonesia,9813,44.79,52.62,37226361,774.84,0.17
18,CPIN,Charoen Pokphand,1926,27.49,53.33,18006335,691.97,5.1
19,ASII,Astra International,7173,-1.3,5.29,48558777,788.39,3.95
20,MDKA,Merdeka Copper Gold,2977,17.92,14.58,42063185,269.3,9.58
21,PGAS,Perusahaan Gas Negara,3308,-1.59,73.63,36297113,858.2,13.84
22,ADRO,Adaro Energy,59,22.94,48.97,7607315,836.26,13.18
23,ACES,Ace Hardware Indonesia,5088,3.17,26.68,38174679,852.31,1.28
24,ANTM,Aneka Tambang,1183,43.79,52.94,8539645,116.42,7.13
25,MDKA,Merdeka Copper Gold,2755,4.58,83.52,28496306,867.96,13.93
26,GOTO,GoTo Gojek Tokopedia,11352,1.06,33.05,45176148,585.24,6.57
27,MDKA,Merdeka Copper Gold,7447,-3.34,25.22,22788538,19.91,8.31
28,PGAS,Perusahaan Gas Negara,3658,-9.6,68.71,4050951,206.82,13.58
29,ACES,Ace Hardware Indonesia,5463,-6.1,26.42,44994338,437.39,8.09
30,CPIN,Charoen Pokphand,9405,21.69,26.87,31840676,726.94,2.86
31,BBRI,Bank Rakyat Indonesia,10846,13.71,43.12,31441494,777.59,0.81
32,INDF,Indofood Sukses Makmur,10637,-4.59,41.24,22870212,720.73,1.64
33,TLKM,Telkom Indonesia,3166,19.5,17.62,12413673,251.41,3.75
34,ADRO,Adaro Energy,1285,14.37,82.52,37031706,89.02,9.78
35,MDKA,Merdeka Copper Gold,291,43.29,88.37,15963159,150.51,7.28
36,TLKM,Telkom Indonesia,6620,39.63,19.82,244644,886.79,3.98
37,GOTO,GoTo Gojek Tokopedia,7504,5.69,67.69,49123381,895.88,8.34
38,CPIN,Charoen Pokphand,8023,-1.49,31.7,4024747,521.68,8.13
39,CPIN,Charoen Pokphand,5188,-6.86,57.58,33845717,827.53,7.97
40,BBCA,Bank Central Asia,8370,-5.59,21.72,40032130,62.1,12.93
41,UNVR,Unilever Indonesia,2014,41.79,56.27,38950600,535.47,9.29
42,UNVR,Unilever Indonesia,10820,22.1,52.05,17599689,184.63,10.74
43,TLKM,Telkom Indonesia,4401,11.77,65.45,20232463,412.04,13.94
44,ADRO,Adaro Energy,1238,-9.49,60.9,37881863,896.49,1.1
45,TLKM,Telkom Indonesia,8338,4.59,88.99,4716506,791.46,5.54
46,BMRI,Bank Mandiri,7229,35.86,68.32,41148999,885.48,12.11
47,MDKA,Merdeka Copper Gold,178,26.73,54.91,44619263,94.12,13.17
48,ASII,Astra International,1941,38.93,71.82,10531932,245.84,9.07
49,CPIN,Charoen Pokphand,5667,1.2,62.08,17815659,455.36,3.77
50,ADRO,Adaro Energy,882,-4.92,43.12,18667695,40.63,5.0
51,BMRI,Bank Mandiri,10488,43.89,19.54,29751079,496.96,6.42
52,BBCA,Bank Central Asia,1882,-5.86,84.48,10102863,491.49,12.52
53,PGAS,Perusahaan Gas Negara,9102,-1.85,16.47,20786867,328.82,14.0
54,ACES,Ace Hardware Indonesia,703,39.44,23.91,16845657,600.57,5.31
55,MDKA,Merdeka Copper Gold,6708,43.56,72.45,15987173,778.28,14.64
56,GOTO,GoTo Gojek Tokopedia,2950,38.48,7.23,49530004,832.11,11.74
57,UNVR,Unilever Indonesia,11025,37.52,77.97,18005028,144.12,10.52
58,UNVR,Unilever Indonesia,684,37.22,25.02,30990427,315.34,12.31
59,ACES,Ace Hardware Indonesia,3778,2.26,64.4,26840599,296.11,12.97
